bairro;localizacao;preco;quartos;m2;corretora;data_anuncio;pm2
Noroeste ;SQNW 310 ;150000;3;117;12220;23/01/2014;1.282
Sudoeste ;CCSW 06 MIAMI CENTER;175000;1;30;5388;16/01/2014;5.833
Asa Norte ;SGAN 915 PARQUE NORTE - CANTO, MAIOR APTO E MENOR VALOR!;175000;2;78,31;13065;15/01/2014;2.235
Asa Norte ;CLN 114 BLOCO C ;180000;1;29;6131;06/01/2014;6.207
Asa Norte ;SCRN 714/715 BLOCO D ;190000;1;31;9500;28/01/2014;6.129
Sudoeste ;QMSW 05 - PORTO RAVENA!!!;190000;1;30;7421;15/01/2014;6.333
Asa Sul ;CRS 515 ED. LOS ANGELES - 1? ANDAR - MOBILIADO;195000;1;35;12407;18/12/2013;5.571
Asa Norte ;SCRN 716 BLOCO F :: APARTAMENTO C/ ARM?RIOS;200000;1;35;11763;28/01/2014;5.714
Asa Norte ;CLN 115 BLOCO B ;200000;1;42;18216;17/01/2014;4.762
Asa Norte ;CLN 312 REFORMADA;200000;1;30;4371;15/01/2014;6.667
Asa Norte ;CLN 413 BLOCO E ;200000;1;32;1703;30/12/2013;6.250
Asa Norte ;SCLRN 714 CONTATO MARIANA 7813-5017/8104-0417;205000;1;42;9556;09/12/2013;4.881
Asa Norte ;SCRN 710/711 **EXCELENTE APARTAMENTO, ACEITA FINANCIAMENTO**;210000;1;35;7107;29/01/2014;6.000
Asa Norte ;SHCGN 710 BLOCO G 8172-1240 / 4101-4470;210000;1;45;6977;29/01/2014;4.667
Sudoeste ;CCSW 06 ;210000;1;30;6041;26/12/2013;7.000
Asa Norte ;SCLRN 711 ;215000;1;32,73;7925;20/01/2014;6.569
Sudoeste ;QRSW 07 COMERCIO LOCAL S/N ;215000;1;29;9422;13/01/2014;7.414
Asa Norte ;SGAN 911 ;215000;1;25;10616;13/12/2013;8.600
Sudoeste ;CCSW 05 - ED. BETA ST?DIO- 1? ANDAR;220000;1;26;13933;28/01/2014;8.462
Asa Norte ;SCLRN 711 - AC. FINANC./FGTS;220000;1;34,94;5776;06/01/2014;6.297
Asa Sul ;CRS 515 BLOCO B ED.LAS VEGAS!!1?ANDAR!!VISTA LIVRE!!;220000;1;37;13602;16/12/2013;5.946
Sudoeste ;CCSW 06 IMPERD?VEL 01 QTO EXCTE PRE?O R$$;223000;1;37;7037;06/12/2013;6.027
Asa Norte ;SGAN 912 ;225000;1;27;12513;29/01/2014;8.333
Asa Norte ;SGAN 912 PARK VILLE ? 2? ANDAR ? 01 VAGA;225000;1;25,16;14999;24/01/2014;8.943
Sudoeste ;QMSW 05 MONT SERRAT - DESOCUPADA!!!;225000;1;25;7421;15/01/2014;9.000
Asa Norte ;SETOR STN ED. TOSCANA;230000;1;26,64;7315;20/01/2014;8.634
Asa Norte ;SCLRN 713 LINDO - REFORMADO- PR?XIMO AOS BANCOS;230000;1;27,22;9572;06/01/2014;8.450
Asa Norte ;CLN 316 ;230000;1;30;9182;27/12/2013;7.667
Asa Norte ;SGAN 912 ;230000;1;28;9915;23/12/2013;8.214
Asa Norte ;SGAN 912 EDIF?CIO MASTER PLACE;235000;1;26;7925;20/01/2014;9.038
Sudoeste ;QMSW 06 THE GRAND-33,36 M2- 1? ANDAR-NASCENTE-VAGA VINCULADA.;235000;1;33,36;8051;17/12/2013;7.044
Sudoeste ;QMSW 06 VILLAVERDE. OPORTUNIDADE ?TIMA KIT!!82156648;236653;1;24,69;14688;21/12/2013;9.585
Sudoeste ;QMSW 06 COND. VILLA VERDE! PRONTO! NOVINHA! 9984.5920;236653,62;1;25;14095;29/01/2014;9.466
Sudoeste ;QMSW 05 OPORTUNIDADE KIT SUDOESTE COM DESCONTO 15%;237000;1;26;15343;14/01/2014;9.115
Asa Norte ;SCRN 710/711 SCRN 710/11 BLOCO B;240000;1;36;17001;28/01/2014;6.667
Asa Norte ;SCRN 702/703 ;240000;1;38;11018;22/01/2014;6.316
Sudoeste ;QMSW 04 ;240000;1;33;8012;15/01/2014;7.273
Asa Norte ;SCRN 710/711 ;240000;1;32;6069;23/12/2013;7.500
Asa Norte ;SCRN 704/705 ;241956,75;1;27,11;18456;29/01/2014;8.925
Asa Norte ;SCRN 704/705 PIAZZA VITTA- ACEITA FGTS;242000;1;27;13579;28/01/2014;8.963
Sudoeste ;EQRSW 7/8 MONUMENTAL SUDOESTE 01 VAGA!;244000;1;29,7;14999;24/01/2014;8.215
Asa Norte ;SGAN 912 KIT 25,87, 1 VAGA COBERTA, MOBILIADA.;245000;1;26;11000;30/01/2014;9.423
Asa Norte ;SGAN 912 GARAGEM 113;245000;1;26,61;7073;29/01/2014;9.207
Asa Norte ;SGAN 912 KIT 25,87, 1 VAGA COBERTA, MOBILIADA.;245000;1;26;11000;29/01/2014;9.423
Asa Norte ;SGAN 911 ;245000;1;27;7148;07/01/2014;9.074
Asa Norte ;SGAN 912 MOBILIADA E DECORADA;245000;1;25;19568;25/12/2013;9.800
Asa Norte ;CLN 408 BLOCO A BELA KIT;250000;1;30;218047;27/01/2014;8.333
Asa Norte ;SCRN 712/713 BLOCO C EXCELENTE!  RESIDENCIAL COM ELEVADOR;250000;1;39;14786;22/01/2014;6.410
Asa Norte ;SGAN 911 GARDEN PARK;250000;1;27;16799;02/01/2014;9.259
Asa Norte ;CLN 408 ** OPORTUNIDADE DA SEMANA **;250000;1;43;13880;26/12/2013;5.814
Asa Norte ;SCRN 714/715 ;250000;1;29,34;5179;11/12/2013;8.521
Sudoeste ;QMSW 06 ;255000;1;30,29;21054;29/01/2014;8.419
Asa Norte ;SHCGN 709 BLOCO C BL. C ENTRADA 11;255000;1;36;6899;29/01/2014;7.083
Asa Norte ;SCLRN 711 ;255000;1;36;17001;29/01/2014;7.083
Asa Norte ;SCRN 714/715 ;255000;1;34;8538;10/12/2013;7.500
Asa Norte ;SCRN 714/715 ;255000;1;38;8538;10/12/2013;6.711
Asa Norte ;SCRN 704/705 UNID: 315, PRONTO, CONDOMINIO FECHADO;256189,8;1;27,11;6252;29/01/2014;9.450
Asa Sul ;CRS 515 - DESOCUPADO!!!;259000;2;38;7421;22/01/2014;6.816
Asa Norte ;SCLRN 713 TENHO OUTRO DE 60M? ?TEIS  COM ELEVADOR!;260000;2;43;8247;16/01/2014;6.047
Asa Norte ;SCRN 714/715 TROCO APTO 02 QTOS ?GUAS CLARAS!!;260000;1;40;18848;16/12/2013;6.500
Asa Norte ;SCLRN 713 ;265000;2;43;17001;29/01/2014;6.163
Asa Norte ;SCRN 712/713 / 9232-4947;265000;1;37;12180;29/01/2014;7.162
Asa Norte ;SCLRN 713 ;265000;2;43;17001;28/01/2014;6.163
Asa Norte ;SCRN 712/713 DESOCUPADO, ELEVADOR, NASCENTE NICE 8493-1601;265000;1;37;11018;24/01/2014;7.162
Asa Norte ;SCRN 712/713 ;265000;1;37;12268;20/01/2014;7.162
Asa Norte ;SCLRN 713 TD REFORMADO 712/713;265000;1;37;17754;16/01/2014;7.162
Asa Norte ;SCLRN 713 43M? ?TEIS, NASCENTE, VISTA LIVRE.;265000;1;43;8247;06/01/2014;6.163
Sudoeste ;CCSW 04 RESIDENCIAL TOP MASTER ( ALUGADO );267000;1;30;10385;28/01/2014;8.900
Asa Norte ;SCRN 714/715 ACEITA FINANCIAMENTO E FGTS. NASCENTE  NICE 8493;268000;1;37;11018;20/01/2014;7.243
Asa Sul ;CRS 502 MOBILIADO, COZINHA AMERICANA E AR CONDICIONADO.;270000;1;33;10075;28/01/2014;8.182
Asa Norte ;CLN 204 BLOCO D ;270000;1;47;7857;24/01/2014;5.745
Sudoeste ;QMSW 05 ;270000;1;33;12220;21/01/2014;8.182
Asa Norte ;CLN 204 BLOCO D LINDO APARTAMENTO;270000;1;47;14709;17/01/2014;5.745
Asa Norte ;SCLRN 715 BLOCO F ;270000;2;45;7783;14/01/2014;6.000
Asa Sul ;CRS 515 BARATO!!! COM ARM?RIOS.;270000;2;42;10075;14/01/2014;6.429
Asa Norte ;SCRN 710/711 BLOCO C ;270000;1;32,2;1703;07/01/2014;8.385
Asa Norte ;SGAN 906 -STUDIO 906 -  2 ANDAR, COM VAGA!!!8458-3156;270000;1;26,81;12027;05/01/2014;10.071
Asa Norte ;SCRN 704/705 ACEITA FGTS E FINAC. RES / 8595-2022;270000;1;39;12180;16/12/2013;6.923
Sudoeste ;CLSW 103 ;270000;1;39;5295;11/12/2013;6.923
Sudoeste ;QMSW 04 ;270000;1;37;12571;06/12/2013;7.297
Asa Norte ;SCRN 704/705 PIAZZA VITTA - LIGUE J? 8123-0648;270422,4;1;27,11;9735;18/01/2014;9.975
Asa Norte ;SHCGN 704 PIAZZA VITTA-704 ASA NORTE-1Q-27M2-CARLA 81085530;270964;1;27,11;14005;21/01/2014;9.995
Asa Norte ;SCRN 714/715 - SUPER REFORMADO - SUITE;275000;1;39;8791;21/01/2014;7.051
Asa Norte ;SCLRN 713 FRENTE LIVRE 1ANDAR SO 275MIL;275000;2;48;8904;07/01/2014;5.729
Asa Norte ;SCLRN 703 AMPLO APTO NO CENTRO DO PLANO PILOTO, VEJA;280000;1;55;17610;29/01/2014;5.091
Sudoeste ;QRSW 07 ED. VERDES MARES!!;280000;1;29,35;7174;28/01/2014;9.540
Sudoeste ;QMSW 04 ;280000;2;49;7569;23/01/2014;5.714
Asa Norte ;SCLRN 716 BLOCO F 2? ANDAR;280000;2;55;1906;20/01/2014;5.091
Asa Sul ;SQS 405 BLOCO T ;280000;1;30;4582;17/12/2013;9.333
Asa Norte ;SCLRN 710 BLOCO C ;280000;1;37,1;12571;16/12/2013;7.547
Asa Norte ;SCLRN 704 SAQUE O SEU FGTS COM O RESIDENCIAL PIAZZA!!!;284000;1;27;7660;10/12/2013;10.519
Asa Norte ;SCRN 706/707 BLOCO E ;285000;2;52;8538;27/01/2014;5.481
Asa Norte ;SCLRN 710 BLOCO G ACEITO LOTE NO TAQUARI;285000;2;45,74;7173;24/01/2014;6.231
Asa Norte ;SCRN 710/711 BLOCO F ;285000;2;50;10589;18/01/2014;5.700
Asa Sul ;SQS 411 JK  R$ 285.000,00 DOIS QUARTOS,  ACEITA FINANCIAMEN;285000;2;49,5;8247;16/01/2014;5.758
Asa Norte ;SCLRN 703 BLOCO E ;285000;2;52;11410;07/01/2014;5.481
Asa Norte ;SCLRN 715 BLOCO F ;285000;2;44;8538;18/12/2013;6.477
Asa Norte ;SCRN 708/709 ***ANDAR ALTO,ELEVADOR,ACEITA FIN/FGTS;285000;1;33;10380;17/12/2013;8.636
Noroeste ;SQNW ? STYLO ? 1 QUARTO;290000;1;36,45;14999;24/01/2014;7.956
Asa Norte ;SCRN 714/715 ;290000;1;38;6390;16/01/2014;7.632
Sudoeste ;QMSW 04 DESOCUPADO, AVALIA??O GRATUITA!!!;290000;2;49;9025;14/01/2014;5.918
Asa Norte ;SCLRN 710 REFORMADO 2ANDAR UMA GRA?A;290000;2;58;8904;04/01/2014;5.000
